Company Name,Description,Hot Lead / warm lead / cool lead,Last Contact Date,Sales Rep,Name,Phone,fax / second number / extension,email,Second email,Type
Country Lane Park Condominiums,,,,,Merrigan Kim,(847) 985-9040,,,,Condo list
Countryrose Condo Assn,,,,, ,(708) 352-8604,,,,Condo list
Courthouse Square Midrise,,,,, ,(630) 462-2681,,,,Condo list
Courtyard Of Hardwood Heights,,,,, ,(708) 867-4956,,,,Condo list
Courtyard Of Westchester Condo,,,,, ,(708) 562-1452,,,,Condo list
Cove Landing,,,,, ,(630) 627-7615,,,,Condo list
Cove Landing Building One,,,,,Letus Jack,(630) 268-3889,,,,Condo list
Crawford Terrance Condominum,,,,, ,(708) 499-9495,,,,Condo list
Crescent Heights,,,,,Lundemo Gary,(773) 289-1600,,,,Condo list
Cress Creek Condominium Assn,,,,, ,(630) 637-0200,,,,Condo list
Crossings At Geneva,,,,,Brady Carol,(630) 845-0591,,,,Condo list
Crown Heights Realty,,,,,Glatz Andrew,(312) 440-7000,,,,Condo list
Crystal Towers Condominiums,,,,,Las Jozef,(847) 228-0730,,,,Condo list
D & S Condo Management Inc,,,,,Beyer Dale,(815) 877-1059,,,,Condo list
Dags Desplaines LLC,,,,,Shultz George,(312) 474-0659,,,,Condo list
Dakota Condo Assoc,,,,, ,(773) 871-5021,,,,Condo list
Damien Berwynn Condo Assoc,,,,,Berwynn Damien,(773) 561-5438,,,,Condo list
Dana Point Condominiums,,,,, ,(847) 228-5176,,,,Condo list
Dearborn Elm Condo Assn,,,,, ,(312) 274-1423,,,,Condo list
Deer Run Of Oswego Condo Assoc,,,,,Chiodo Frank,(630) 554-1700,,,,Condo list
Deercreek Condominiums,,,,, ,(847) 336-5100,,,,Condo list
Deerview Condominiums,,,,,Milnes Gary,(815) 772-7787,,,,Condo list
Deerview Estates Condo Assoc,,,,, ,(815) 485-5158,,,,Condo list
Del Norte LA Salceda,,,,, ,(847) 559-0263,,,,Condo list
Delacourte Condominiums Assoc,,,,, ,(847) 459-4315,,,,Condo list
Delaware Condominium Assn Inc,,,,, ,(312) 440-9340,,,,Condo list
Devon Place Condo Assn,,,,, ,(773) 775-9037,,,,Condo list
Dickens Court Condo Assoc,,,,, ,(312) 943-2126,,,,Condo list
Dobson Elmwood Condominium Asc,,,,, ,(847) 328-0782,,,,Condo list
Domain Condominium Assn,,,,,Cosey Tawana,(312) 222-9750,,,,Condo list
Dominion Tower Condominium,,,,, ,(630) 595-5446,,,,Condo list
Dorael South Condo Assn,,,,, ,(773) 933-6416,,,,Condo list
Dorchester Court Condo Assoc,,,,, ,(773) 667-0068,,,,Condo list
Downey Village Condominiums,,,,, ,(618) 259-8357,,,,Condo list
Drake Manor Condominium Assn,,,,, ,(847) 674-0737,,,,Condo list
Dremco Inc,,,,, ,(708) 396-8676,,,,Condo list
Drexel Commons Condominium,,,,, ,(773) 624-8950,,,,Condo list
Drexel Condominiums Inc,,,,, ,(773) 268-0025,,,,Condo list
Drummond Sq Condo Assoc,,,,, ,(773) 529-0618,,,,Condo list
E Besler & Co,,,,,Besler Eugene,(847) 364-0300,,,,Condo list
Eaglebrooke Condo Assn,,,,, ,(773) 363-6336,,,,Condo list
East Haven Condominium,,,,, ,(815) 692-3270,,,,Condo list
East View Park Condominium,,,,,Elliot Cornelia,(773) 643-4640,,,,Condo list
Eddystone Condominiums Inc,,,,, ,(773) 528-3174,,,,Condo list
Edge Lofts & Tower,,,,,Schoell Kristina,(312) 887-0210,,,,Condo list
Edgewater Beach Apts Corp,,,,,Rudnick Sarah,(773) 561-8500,,,,Condo list
Edgewater Condo Residence,,,,, ,(773) 728-3049,,,,Condo list
Edgewood Valley Condominium,,,,, ,(708) 354-5874,,,,Condo list
Eight Fifty W Adams,,,,, ,(312) 738-1093,,,,Condo list
Eighteen Ten Chase Condo,,,,, ,(773) 381-6106,,,,Condo list
Eighteen Twenty One North,,,,, ,(773) 276-2125,,,,Condo list
El Lago Condominium Assoc,,,,, ,(773) 761-6157,,,,Condo list
Elderberry Condo 1,,,,, ,(630) 369-5759,,,,Condo list
Elite Management Assoc,,,,, ,(708) 784-9455,,,,Condo list
Elite Management Assoc,,,,,Kovel Brett,(708) 352-2870,,,,Condo list
Elm At Clark,,,,, ,(312) 943-0381,,,,Condo list
Elm Tower Condominium Assoc,,,,, ,(708) 452-1233,,,,Condo list
Elmhurst Manor Condominium,,,,, ,(630) 617-0043,,,,Condo list
Emerald Towers One Condominium,,,,, ,(630) 279-9063,,,,Condo list
Emerson Lofts LLC,,,,,Kogler Karen,(815) 337-7900,,,,Condo list
Enclave Condo Assn,,,,, ,(847) 933-0383,,,,Condo list
Enclave Condominium,,,,, ,(847) 673-3893,,,,Condo list
Ensenberger Building Corp,,,,,Huff Merle,(309) 823-9000,,,,Condo list
Erie Centre Condominiums,,,,, ,(312) 475-0121,,,,Condo list
Erie On The Park,,,,,Dister Wayne,(312) 587-9245,,,,Condo list
Essex Place Condo Assn,,,,, ,(630) 355-0174,,,,Condo list
Essex Village Condominium,,,,, ,(815) 477-8949,,,,Condo list
Exchange Condominium Assoc,,,,, ,(773) 734-0142,,,,Condo list
Exclusive Condo Management,,,,, ,(815) 977-4409,,,,Condo list
Exclusive Condo Management,,,,, ,(815) 229-3642,,,,Condo list
Executive Estates Condos,,,,, ,(847) 696-9740,,,,Condo list
Fairfield Commons Condominium,,,,, ,(773) 252-7330,,,,Condo list
Farwell Avenue Condominium,,,,, ,(773) 465-2048,,,,Condo list
Farwell Condominium Assoc,,,,, ,(773) 764-4877,,,,Condo list
Farwell Terrace Condminium,,,,, ,(773) 743-4163,,,,Condo list
Faulkner House Condominiums,,,,,Hernandez Kalen,(312) 440-8000,,,,Condo list
Fifteen Twenty Cleveland Condo,,,,, ,(312) 335-0349,,,,Condo list
Five Hundred Lake Street Condo,,,,, ,(847) 864-8734,,,,Condo list
Flagg Creek Condo,,,,, ,(708) 246-2730,,,,Condo list
Flats On LA Salle,,,,, ,(312) 587-0100,,,,Condo list
Fordham Condominium Assn,,,,, ,(312) 944-2515,,,,Condo list
Forest Park Condominium Assn,,,,, ,(309) 685-6842,,,,Condo list
Forest Trails Condo Assoc,,,,,Fisher Sandy,(708) 839-2551,,,,Condo list
Forest Trails Condominiums,,,,, ,(708) 535-9700,,,,Condo list
Forest View East Condos,,,,, ,(708) 418-1174,,,,Condo list
Forrest Trails Condominium,,,,, ,(708) 687-4164,,,,Condo list
Forty Seven N Kenmore Condo,,,,, ,(773) 561-5810,,,,Condo list
Foster Street Condo Assoc,,,,, ,(847) 491-1088,,,,Condo list
Foster-Winthrop Condominium,,,,, ,(773) 271-3158,,,,Condo list
Fountain View Condominiums Inc,,,,, ,(847) 647-6736,,,,Condo list
Fountaincrest Condominiums,,,,, ,(708) 841-6922,,,,Condo list
Four Bees,,,,, ,(312) 750-1708,,,,Condo list
Four Lake Condos,,,,, ,(630) 493-4234,,,,Condo list
Four Lakes Condo Assoc,,,,, ,(630) 241-2716,,,,Condo list
Four Lakes Village Condominium,,,,,Selmon Lisa,(630) 971-9191,,,,Condo list
Fox River Institute Condo,,,,, ,(630) 208-0848,,,,Condo list
Foxcroft Townhome Owner's Assn,,,,, ,(630) 264-0889,,,,Condo list
Foxwoods Condo Assn,,,,, ,(708) 385-5156,,,,Condo list
Foxwoods Condo Assoc,,,,, ,(708) 385-0674,,,,Condo list
Franczak,,,,, ,(847) 705-6238,,,,Condo list
Front Street Lofts Of Lemont,,,,,Lucas Jill,(630) 243-6162,,,,Condo list
Fulton Condo Assoc,,,,, ,(312) 421-7042,,,,Condo list
Fulton House Condominium Assoc,,,,,Keller Matthew,(312) 454-1609,,,,Condo list
Galena Green Condominium Assoc,,,,, ,(815) 777-3132,,,,Condo list
Gallagher & Henry's Condos,,,,, ,(708) 301-3572,,,,Condo list
Gallagher & Henrys,,,,, ,(708) 645-2495,,,,Condo list
Gallery 400 Condo Assn,,,,, ,(312) 587-7002,,,,Condo list
Garden At Homewood Place,,,,, ,(708) 647-0738,,,,Condo list
Garrison Lofts & Town Homes,,,,,Morrissey Joe,(815) 965-5507,,,,Condo list
Gaslight Village Condominium,,,,, ,(773) 935-5079,,,,Condo list
Gateway Terraces Condominium,,,,, ,(773) 549-7628,,,,Condo list
Genone Group Inc,,,,, ,(773) 379-1948,,,,Condo list
George Campbell Condo Assn,,,,, ,(773) 292-9784,,,,Condo list
Georgetown Condo,,,,, ,(847) 359-6324,,,,Condo list
Georgetown Condominiums,,,,, ,(847) 221-5343,,,,Condo list
Georgetown Condos,,,,, ,(847) 359-6325,,,,Condo list
Gingerbrook Condo,,,,, ,(630) 663-9335,,,,Condo list
Glen Ellyn Raintree Condo,,,,,Huddleston Cindy,(630) 858-0990,,,,Condo list
Glen Shore Condominium Assn,,,,, ,(847) 657-1623,,,,Condo list
Glen Shore Condominium Assn,,,,, ,(847) 657-1624,,,,Condo list
Glencove Estates Condominiums,,,,, ,(847) 729-9515,,,,Condo list
Glenlake II Condo Assoc,,,,, ,(773) 283-7051,,,,Condo list
Glenview Real Estate,,,,, ,(847) 724-5900,,,,Condo list
Gordon Terrace Condominiums,,,,, ,(773) 832-0929,,,,Condo list
Gqllery 1250,,,,,Palczkiewicz Semon,(312) 255-3151,,,,Condo list
Grafton Place Condominiums,,,,, ,(708) 633-8488,,,,Condo list
Grand On Grando Condo Assn,,,,, ,(312) 329-9495,,,,Condo list
Grand Orleans,,,,, ,(312) 832-1710,,,,Condo list
Grand Tower Plaza,,,,, ,(847) 451-7544,,,,Condo list
Granville Beach Comdoniniums,,,,, ,(773) 274-4222,,,,Condo list
Granville Court Condominiums,,,,,Uddim Kaleem,(773) 764-7530,,,,Condo list
Granville Tower Condo Assn,,,,,Stiefel Marla,(773) 274-2500,,,,Condo list
Graue Mill Country Condominium,,,,,Kolar Dawn,(630) 654-1588,,,,Condo list
Green Street Lofts Condominium,,,,, ,(312) 563-0410,,,,Condo list
Greenbriar Place Condominiums,,,,, ,(630) 790-2700,,,,Condo list
Greenleaf Condo,,,,, ,(773) 743-7017,,,,Condo list
Greenleaf Condominium Assn,,,,, ,(773) 262-0555,,,,Condo list
Greens Of Elgin,,,,, ,(847) 289-0400,,,,Condo list
Greenview Gardens Condominium,,,,, ,(773) 508-6139,,,,Condo list
Grove Manor Condominium,,,,, ,(847) 470-1104,,,,Condo list
Grove Terrace Condominiums,,,,, ,(847) 520-7243,,,,Condo list
Haberdasher Square Lofts Condo,,,,, ,(312) 655-0728,,,,Condo list
Halsted Hubbard Condo Assoc,,,,, ,(312) 491-1768,,,,Condo list
Hampden Court Condominium,,,,, ,(773) 868-3403,,,,Condo list
Hampden Green Condominium Assn,,,,,Busch Marilyn,(773) 528-0035,,,,Condo list
Hampton House Condominium,,,,, ,(773) 324-1000,,,,Condo list
Hanover Condominium Assn,,,,,Couch Susan,(312) 787-7373,,,,Condo list
Harbor Parc Condominiums,,,,, ,(773) 334-1878,,,,Condo list
Harbour Club Condo,,,,, ,(847) 526-5251,,,,Condo list
Harlem Terrace Condominiums,,,,, ,(708) 456-1140,,,,Condo list
Hawthorn Estates Condominiums,,,,, ,(847) 397-1919,,,,Condo list
Hawthorne Pl II Condo Assn,,,,, ,(773) 248-9875,,,,Condo list
Heartwood Farms Condo,,,,, ,(630) 837-1550,,,,Condo list
Heiden Gardens Condo Assn Inc,,,,,Taylor Bill,(847) 234-7810,,,,Condo list
Hemingway House,,,,,Deschamts Violet,(312) 943-1825,,,,Condo list
Henderson Square Condo Assn,,,,, ,(773) 935-4032,,,,Condo list
Heritage At Millennium Park,,,,, ,(312) 220-0300,,,,Condo list
Heritage Condominium Assoc,,,,, ,(708) 423-4102,,,,Condo list
Heritage Cove Condominium Assn,,,,, ,(708) 974-3956,,,,Condo list
Heritage Ridge Condominium,,,,, ,(708) 535-1728,,,,Condo list
Hermitage Of Ravenswood Condo,,,,, ,(773) 561-7075,,,,Condo list
Herritage Ridge Condominium,,,,, ,(708) 687-4761,,,,Condo list
Hidden Lakes Condominium Assn,,,,, ,(847) 634-2109,,,,Condo list
Highland Condominiums,,,,, ,(773) 363-0539,,,,Condo list
Highland Crossing Condo Assoc,,,,, ,(847) 490-0178,,,,Condo list
Highland Park Place Condo Assn,,,,, ,(847) 266-8659,,,,Condo list
Hillcrest Manor Condo Assn,,,,, ,(708) 361-8870,,,,Condo list
Hillcrest Property Management,,,,,Garson Joel,(312) 379-0692,,,,Condo list
Hillcrest Property Management,,,,,Klave Betty,(847) 803-0435,,,,Condo list
Hilldale Condominium Assn,,,,, ,(847) 781-1644,,,,Condo list
Hindsdale Point Condo Assn,,,,,Subasic Janice,(630) 655-4417,,,,Condo list
Hinman Garden's Condo Assoc,,,,, ,(847) 332-2547,,,,Condo list
Hollywood Terrace Condo Assn,,,,, ,(773) 878-6761,,,,Condo list
Home & Away Condo Svc,,,,, ,(312) 822-0151,,,,Condo list
Homewood Shores Assoc Inc,,,,,Narjes Sue,(708) 799-0440,,,,Condo list
House Condos Princeton,,,,, ,(773) 944-9240,,,,Condo list
Hoyne Condo Assn,,,,, ,(773) 862-1552,,,,Condo list
Hunt Club Condominium,,,,, ,(630) 513-4631,,,,Condo list
Hunt Club Condominuim Assoc,,,,, ,(630) 584-8260,,,,Condo list
Huntington Club Condominiums,,,,, ,(847) 885-3420,,,,Condo list
Huntington Condominiums,,,,,Cole Dawn,(630) 357-1720,,,,Condo list
Huron Terrace Condo Assoc,,,,, ,(312) 226-7388,,,,Condo list
Hyde Park Manor Condominium,,,,, ,(773) 363-0882,,,,Condo list
Imperial Lofts,,,,, ,(312) 834-0197,,,,Condo list
Independence Condo Assoc,,,,, ,(773) 533-4720,,,,Condo list
Indigo Loft Condominium Assn,,,,, ,(773) 394-9328,,,,Condo list
Interstate Realty Management,,,,, ,(312) 421-3334,,,,Condo list
INVESCO Advertising Inc,,,,,Gouletas Nicholas,(312) 595-4800,,,,Condo list
Isabella Northfield Condo,,,,, ,(847) 881-2665,,,,Condo list
James Kilmer Assn,,,,,Kilmer James,(312) 337-2416,,,,Condo list
Jefferson House Condominium,,,,, ,(773) 286-7875,,,,Condo list
Jefferson Walk Condo Assoc,,,,, ,(847) 299-1721,,,,Condo list
Joffrey Tower Condo Assoc,,,,, ,(312) 346-4201,,,,Condo list
K & K Holdings LLC,,,,, ,(847) 381-0196,,,,Condo list
Karmatage Condominium Assn,,,,, ,(773) 227-3720,,,,Condo list
Keating Commons Condo Assn LLC,,,,, ,(847) 568-0715,,,,Condo list
Kenilworth House Condos,,,,, ,(708) 763-0528,,,,Condo list
Kennelly Square Condo Assn,,,,, ,(312) 944-0242,,,,Condo list
Kenton Court Condo Assn,,,,, ,(847) 674-5922,,,,Condo list
Kimble Square Condominiums,,,,, ,(847) 670-7649,,,,Condo list
King Arthor,,,,, ,(708) 947-3876,,,,Condo list
King Arthur 34 Co Assn Spec,,,,, ,(708) 409-4771,,,,Condo list
King Arthur Condominiums,,,,, ,(708) 531-1043,,,,Condo list
King Arthur Condominiums,,,,, ,(708) 562-0417,,,,Condo list
King Arthur Condominiums,,,,, ,(708) 531-1124,,,,Condo list
King Arthur Condominiums Board,,,,, ,(708) 531-1102,,,,Condo list
King Arthur Court Condominiums,,,,, ,(708) 531-8662,,,,Condo list
Kingsbury On The Park Condo,,,,, ,(312) 255-0608,,,,Condo list
Klein Creek Condominiums,,,,, ,(630) 260-8862,,,,Condo list
Kristina Gardens Condominiums,,,,, ,(847) 671-2996,,,,Condo list
LA Grange Tower Condo Assn,,,,,Vicik David,(708) 354-5558,,,,Condo list
LA Londe Place Condominiums,,,,, ,(630) 458-8298,,,,Condo list
LA Pavillion Condo Assoc,,,,, ,(773) 281-0146,,,,Condo list
LA Salceda Del Norte Condo,,,,, ,(847) 272-5250,,,,Condo list
LA Salle Private Residences,,,,,Hoff Maura,(312) 649-5644,,,,Condo list
Lake Arlington Towne,,,,,Pierce George,(847) 253-1140,,,,Condo list
Lake Hinsdale Village Mgmt,,,,,Sclemmel Scott,(630) 655-0959,,,,Condo list
Lake In The Woods Condo Inc,,,,, ,(630) 985-1291,,,,Condo list
Lake Meadows Apartments,,,,, ,(312) 842-7333,,,,Condo list
Lake Point Tower Condominium,,,,,Derby John,(312) 467-0505,,,,Condo list
Lake Run Condominium Assoc,,,,,Livaditis John,(847) 537-3030,,,,Condo list
Lake Shore Drive Condominium,,,,,Garrison Matt,(312) 266-7065,,,,Condo list
Lake Terrace Condominium,,,,, ,(773) 768-8106,,,,Condo list
Lakebluff Condos At Stonecliff,,,,,Held Patricia,(847) 487-8047,,,,Condo list
Lakefront Place Condo Assn,,,,,Ott Joe,(773) 288-6000,,,,Condo list
Lakeshore Condominiums,,,,, ,(312) 951-5834,,,,Condo list
Lakeshore Drive Condominiums,,,,, ,(773) 248-7253,,,,Condo list
Lakeside Condo A Assoc,,,,, ,(847) 364-4613,,,,Condo list
Lakeside Condo Assoc,,,,, ,(847) 364-4619,,,,Condo list
Lakeside Condo B Assn,,,,, ,(847) 758-0045,,,,Condo list
Lakeside Condo C Assoc,,,,, ,(847) 364-4403,,,,Condo list
Lakeside On The Park Condo,,,,,Schindel William,(312) 765-0570,,,,Condo list
Lakeside Tower LLC,,,,,Litwiller Eric,(312) 356-0501,,,,Condo list
Lakeview Condominium Assoc Inc,,,,, ,(630) 628-0963,,,,Condo list
Lakeview Condominiums Assoc,,,,, ,(630) 628-0982,,,,Condo list
Lakeview Pointe Condo Assn,,,,, ,(773) 262-9185,,,,Condo list
Lakeview Pointe Condo Assn,,,,, ,(773) 262-7418,,,,Condo list
Lakeview Station Condo Assn,,,,, ,(773) 549-7158,,,,Condo list
Lancaster Condominiums,,,,, ,(312) 228-9701,,,,Condo list
Landings Condo,,,,, ,(847) 635-0194,,,,Condo list
Landings Condo Assn,,,,, ,(847) 803-8915,,,,Condo list
Landings Condo Assoc,,,,, ,(847) 298-9764,,,,Condo list
Landings Condominium Assn,,,,, ,(847) 298-8985,,,,Condo list
Landings Of Frankfort,,,,,Tulchinsky Larry,(815) 464-6599,,,,Condo list
Lansing Rosewood Condos Assn,,,,, ,(708) 418-3119,,,,Condo list
Laurel Glen Condo Assn,,,,, ,(708) 597-3908,,,,Condo list
Lawrence Point Condominium,,,,, ,(708) 457-0455,,,,Condo list
Le Parc Condominium Gate House,,,,,Valentine Angela,(847) 541-9464,,,,Condo list
Ledner & Woodman,,,,, ,(312) 337-6677,,,,Condo list
Legacy At Millinium Park Condo,,,,, ,(312) 332-2010,,,,Condo list
Les Maisons Condominium Assn,,,,,Builga George,(847) 926-9116,,,,Condo list
Lexington Green Condo Assn,,,,, ,(847) 895-2648,,,,Condo list
Lexington Park Condo Assoc,,,,, ,(312) 251-1954,,,,Condo list
Library Tower Condominium Ofc,,,,, ,(312) 663-1831,,,,Condo list
Lincoln Avenue Residence Condo,,,,, ,(773) 472-1123,,,,Condo list
Lincoln Park Tower Condominium,,,,, ,(773) 327-1960,,,,Condo list
Lincoln Park Villas,,,,, ,(312) 573-0976,,,,Condo list
Lincoln Park West Condominium,,,,, ,(773) 880-9130,,,,Condo list
Lincoln Ridge Condominiums,,,,,Gavogdian George,(847) 676-8218,,,,Condo list
Lincolnwood Suites Condo Assn,,,,,Daniels Cagan,(847) 677-5450,,,,Condo list
Lions Park Condominium Bldg,,,,,Hoffman Jerri,(847) 255-2592,,,,Condo list
Lofts At 1800 Condo Assn,,,,,Woodman Aaron,(773) 248-2121,,,,Condo list
Lombard Towers Condominium,,,,, ,(630) 916-7355,,,,Condo list
Lorraine Court Condominium,,,,, ,(630) 690-2370,,,,Condo list
Lunt Court Condo Assoc,,,,, ,(773) 761-6692,,,,Condo list
Lunt Lane Condominium Assn,,,,, ,(773) 262-0355,,,,Condo list
Madison Nine Zero One Cndmnm,,,,, ,(312) 432-0368,,,,Condo list
Madison Place Condo Assoc,,,,, ,(847) 568-0432,,,,Condo list
Madison Treetops Condo's,,,,, ,(773) 268-0637,,,,Condo list
Magnolia Gardens Condo Assoc,,,,, ,(773) 728-0744,,,,Condo list
Magnolia Point Condominium,,,,, ,(773) 275-1367,,,,Condo list
Main Judson Condominiums Assn,,,,, ,(847) 475-4603,,,,Condo list
Malden Court Condominium Assn,,,,, ,(773) 561-1029,,,,Condo list
Malibu Condominium,,,,, ,(773) 334-3313,,,,Condo list
Maple Tower Condo Assn,,,,, ,(312) 202-0663,,,,Condo list
Maplewood Condo Assoc,,,,, ,(773) 227-5305,,,,Condo list
Marlborough Condominium,,,,,Sanchez Rayma,(773) 348-4400,,,,Condo list
Marquette Row 675 Condominiums,,,,, ,(312) 733-8075,,,,Condo list
Marquis Condo Assoc,,,,, ,(773) 955-0171,,,,Condo list
Marywood Towers Condominiums,,,,, ,(630) 898-2123,,,,Condo list
Mason Properties,,,,,Mason Jim,(815) 756-1198,,,,Condo list
Matteson Condo,,,,, ,(708) 481-1970,,,,Condo list
Mc Cormick Mansion,,,,, ,(312) 664-5058,,,,Condo list
Mc Kinley Park Lofts,,,,, ,(773) 523-8333,,,,Condo list
Mc Quire Condominium Assn,,,,, ,(312) 829-4809,,,,Condo list
Meadowlake Condo Assn,,,,, ,(847) 441-0327,,,,Condo list
Meadowlake Condo Assn,,,,, ,(847) 501-3854,,,,Condo list
Meadowlake Condo Assn,,,,, ,(847) 441-8405,,,,Condo list
Medinah Terrace,,,,,Moore Claudia,(630) 773-1001,,,,Condo list
Melrose Commons Condominiums,,,,, ,(773) 348-2941,,,,Condo list
Merit Homes,,,,,Sandberg Bill,(847) 680-0090,,,,Condo list
Meter Building Condo Assoc,,,,, ,(312) 733-5745,,,,Condo list
Metro Loft Condominium,,,,, ,(847) 253-1000,,,,Condo list
Metropolitan Square,,,,, ,(847) 299-7162,,,,Condo list
Metropolitan Square Condo,,,,, ,(847) 299-7403,,,,Condo list
Michael Terrace Condominium,,,,, ,(312) 335-1502,,,,Condo list
Michigan Avenue Garden Condo,,,,, ,(312) 674-1902,,,,Condo list
Michigan Avenue Lofts Condo,,,,,Daniel Mary,(312) 362-1790,,,,Condo list
Michigan Avenue Tower Condo,,,,, ,(312) 554-1250,,,,Condo list
Mildred Court Condominium,,,,, ,(773) 348-0089,,,,Condo list
Millennium Centre Condominium,,,,, ,(312) 337-0133,,,,Condo list
Monaldi Manor Condo Assoc,,,,, ,(708) 474-0133,,,,Condo list
Montrevelle Condo,,,,, ,(312) 666-6857,,,,Condo list
Montrose Claremont Condo Assoc,,,,, ,(773) 583-0674,,,,Condo list
Moon Lake Village Condominium,,,,,Bergland Norma,(847) 882-0728,,,,Condo list
Morton House Condominiums,,,,, ,(847) 967-8369,,,,Condo list
Mozart Condo Assn,,,,, ,(773) 489-0454,,,,Condo list
Museum Lofts,,,,, ,(312) 235-0486,,,,Condo list
Museum Park Place,,,,,Lastrapes Felicia,(312) 225-7700,,,,Condo list
Museum Park Place South,,,,, ,(312) 225-5700,,,,Condo list
Museum Park Tower Two,,,,,La Frenere Yvette,(312) 945-3441,,,,Condo list
Museum Pointe Condominium,,,,, ,(312) 945-0683,,,,Condo list
N Kenmore Condo Assn,,,,, ,(773) 529-5193,,,,Condo list
N Laramie Condo Assn,,,,, ,(773) 237-2198,,,,Condo list
N Sheridan Rd Condominiums,,,,, ,(773) 935-2909,,,,Condo list
N State Pkwy Condo Assoc,,,,, ,(312) 787-5878,,,,Condo list
Nauvoo Condos,,,,,Miller David,(217) 453-6200,,,,Condo list
Neapolitan Condo Assoc,,,,, ,(312) 255-8586,,,,Condo list
Nequea Professional Bldg Condo,,,,, ,(630) 369-6311,,,,Condo list
Neva Manor Condominium Assoc,,,,, ,(708) 457-1820,,,,Condo list
New York Condominium Assn,,,,,Woodworth Connie,(773) 883-2300,,,,Condo list
Newberry Plaza,,,,,Stepek Patty,(312) 787-1040,,,,Condo list
Newport Corner Condo,,,,, ,(773) 244-4072,,,,Condo list
Norridge Point Condo,,,,, ,(708) 457-8142,,,,Condo list
North 18 Condominums,,,,, ,(708) 394-6908,,,,Condo list
North Church Condo Assoc,,,,, ,(847) 866-7461,,,,Condo list
North Clark St Condominiums,,,,, ,(773) 561-1517,,,,Condo list
North Damen Court,,,,, ,(773) 338-5962,,,,Condo list
North Halsted Condo,,,,, ,(773) 388-9824,,,,Condo list
North Lasalle Building 1140,,,,,Wayman Jim,(312) 587-0100,,,,Condo list
North Town VGE Condos,,,,, ,(312) 335-9980,,,,Condo list
Northbrook Office Ctr Cndmnms,,,,, ,(847) 509-8900,,,,Condo list
Northgate Pier Condominium,,,,, ,(773) 262-5266,,,,Condo list
Northwest Edison Place Condo,,,,, ,(773) 774-9457,,,,Condo list
Norwood Manor Condominium Assn,,,,, ,(773) 631-7671,,,,Condo list
Noth Damen Court Condominium,,,,, ,(773) 761-6841,,,,Condo list
Number 10 Loft Condominium,,,,, ,(312) 421-9603,,,,Condo list
Oak Condo Assoc,,,,, ,(708) 445-3616,,,,Condo list
Oak Creek III Home Owners,,,,, ,(847) 541-2559,,,,Condo list
Oak Park Place Townhomes,,,,, ,(708) 386-5319,,,,Condo list
Oak Park Place Townhomes,,,,, ,(708) 386-5406,,,,Condo list
Oak Park Towers Condo Assoc,,,,, ,(708) 445-1930,,,,Condo list
Oakdale Condominium Assoc,,,,, ,(773) 525-9647,,,,Condo list
Oakley Lofts Condo,,,,, ,(773) 342-0114,,,,Condo list
Oakley Manor Condo Assn,,,,, ,(773) 278-2875,,,,Condo list
Oakton Street Condominiums,,,,, ,(847) 679-4253,,,,Condo list
Odyssey Loft Condo,,,,, ,(312) 928-0631,,,,Condo list
Office Management,,,,, ,(312) 643-5204,,,,Condo list
Ogden Point Condominium,,,,, ,(630) 375-9746,,,,Condo list
Old Orchard Condominiums,,,,, ,(847) 673-0540,,,,Condo list
Olive Trees Condominium,,,,, ,(630) 983-9090,,,,Condo list
Onan Super Senior Suites,,,,, ,(847) 599-1616,,,,Condo list
One East Fifteenth Place,,,,,Toscioti Edward,(312) 322-0924,,,,Condo list
One Itasca Place,,,,, ,(630) 285-9700,,,,Condo list
One Museum Park West,,,,,Moyeno America,(312) 566-9870,,,,Condo list
One One One Morgan Condo,,,,, ,(312) 563-1619,,,,Condo list
One Place Condominiums,,,,,Lissner Jennifer,(312) 986-1111,,,,Condo list
One Renaissance Place,,,,,Peters Phyllis,(847) 359-6000,,,,Condo list
One River Place Condominiums,,,,,Traylor Kimberly,(312) 222-1239,,,,Condo list
One Thousand Four Hundred,,,,, ,(312) 649-5627,,,,Condo list
One Wood Dale Place Apartments,,,,, ,(630) 766-7940,,,,Condo list
Optima Center Wilmette Condo,,,,, ,(847) 256-9854,,,,Condo list
Optima Towers Condo Assoc,,,,, ,(847) 570-0198,,,,Condo list
Optima Views Condo Assoc,,,,, ,(847) 864-6071,,,,Condo list
Orchard Court Condo Assn,,,,, ,(773) 832-1760,,,,Condo list
Orchid Glen Condo Assoc,,,,, ,(847) 998-4604,,,,Condo list
Orlan Brook Condominium Owners,,,,, ,(708) 349-1403,,,,Condo list
Own A Condo,,,,,Kuzdas Brian,(630) 812-2700,,,,Condo list
Palmolive Building Landmark,,,,,Stevens Lynn,(312) 255-0159,,,,Condo list
Paramount Lofts Condominium,,,,, ,(312) 226-0670,,,,Condo list
Park 1500,,,,,Mattagan Jeb,(312) 226-0350,,,,Condo list
Park Alexandria Condo Assn,,,,,Saviono Tenise,(312) 234-0125,,,,Condo list
Park Astor Condominiums,,,,,Tole Shil,(312) 867-1225,,,,Condo list
Park Blvd,,,,,Baskin Norma,(312) 328-1100,,,,Condo list
Park Chardonnay Condo Assoc,,,,, ,(847) 981-1442,,,,Condo list
Park Claridge Condo Assoc,,,,, ,(847) 432-7344,,,,Condo list
Park East Condo Assoc,,,,, ,(630) 510-0620,,,,Condo list
